% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-14
% Frequency: 24400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00000.000  -87.48 -132.18
00001.000  -87.89 -134.25
00002.000  -87.25 -144.80
00003.000  -87.95 -156.95
00004.000  -86.81 -143.43
00005.000  -87.71 -162.47
00006.000  -87.82 -154.63
00007.000  -88.31 -147.99
00008.000  -87.36 -160.27
00009.000  -87.48 -148.29
00010.000  -88.43 -149.33
00011.000  -88.25 -155.83
00012.000  -87.55 -153.50
00013.000  -87.87 -146.91
00014.000  -87.46 -146.84
00015.000  -87.52 -154.08
00016.000  -88.60 -164.20
00017.000  -87.33 -174.11
00018.000  -88.13 -166.83
00019.000  -87.51 -162.61
00020.000  -86.49 -162.70
00021.000  -88.09 -158.10
00022.000  -87.47 -155.50
00023.000  -87.37 -171.44
00024.000  -87.18 -157.96
00025.000  -87.56 -174.76
00026.000  -87.93 -164.69
00027.000  -88.00  177.21
00028.000  -87.65 -174.48
00029.000  -87.78 -173.34
00030.000  -87.82 -166.73
00031.000  -87.97 -179.11
00032.000  -87.33  179.83
00033.000  -88.04  178.08
00034.000  -87.66  176.03
00035.000  -87.75  175.94
00036.000  -87.75  178.55
00037.000  -87.68  169.91
00038.000  -88.20  162.45
00039.000  -87.69  161.45
00040.000  -87.49  156.99
00041.000  -86.88  143.70
00042.000  -87.05  130.06
00043.000  -86.74  135.91
00044.000  -88.08  138.83
00045.000  -86.81  141.61
00046.000  -87.90  138.84
00047.000  -88.20  135.99
00048.000  -87.54  144.42
00049.000  -87.29  141.15
00050.000  -88.43  142.68
00051.000  -87.78  144.38
00052.000  -88.19  144.02
00053.000  -88.00  140.37
00054.000  -87.81  142.59
00055.000  -88.47  140.31
00056.000  -88.61  141.95
00057.000  -88.89  135.74
00058.000  -88.22  144.93
00059.000  -87.33  140.24
00060.000  -87.41  144.39
00061.000  -87.39  143.78
00062.000  -88.16  136.26
00063.000  -86.76  142.79
00064.000  -87.57  132.42
00065.000  -87.38  145.28
00066.000  -87.09  135.52
00067.000  -87.67  146.39
00068.000  -87.97  137.57
00069.000  -87.14  140.92
00070.000  -87.27  135.08
00071.000  -88.78  128.26
00072.000  -87.60  139.14
00073.000  -88.34  137.63
00074.000  -87.70  144.10
00075.000  -87.79  141.19
00076.000  -87.02  141.17
00077.000  -87.81  153.18
00078.000  -86.66  154.79
00079.000  -87.45  144.81
00080.000  -87.69  156.79
00081.000  -88.08  154.65
00082.000  -88.25  166.05
00083.000  -87.96  170.44
00084.000  -87.35  166.65
00085.000  -87.62  162.36
00086.000  -88.51  174.10
00087.000  -88.46  179.34
00088.000  -86.90  178.76
00089.000  -86.67 -177.33
00090.000  -87.22 -172.58
00091.000  -88.65  177.25
00092.000  -88.44 -175.33
00093.000  -87.82 -179.40
00094.000  -88.05 -177.89
00095.000  -87.84 -171.74
00096.000  -87.55 -152.69
00097.000  -88.78 -161.68
00098.000  -87.96 -155.95
00099.000  -87.75 -165.43
00100.000  -87.56 -167.39
00101.000  -87.80 -160.34
00102.000  -88.25 -160.97
00103.000  -87.27 -164.32
00104.000  -86.62 -165.29
00105.000  -87.05 -160.35
00106.000  -86.49 -164.22
00107.000  -87.35 -174.59
00108.000  -87.79  179.19
00109.000  -86.74 -173.09
00110.000  -87.54 -166.49
00111.000  -87.28 -166.77
00112.000  -88.56 -164.42
00113.000  -87.86 -175.29
00114.000  -87.43  178.72
00115.000  -87.66 -169.40
00116.000  -87.57 -175.70
00117.000  -88.11 -178.24
00118.000  -89.05 -163.01
00119.000  -86.72 -158.91
00120.000  -86.60 -149.94
00121.000  -88.71 -152.09
00122.000  -88.38 -169.65
00123.000  -88.95 -167.87
00124.000  -87.28 -160.06
00125.000  -86.89 -176.53
00126.000  -88.19 -170.37
00127.000  -88.82 -169.67
00128.000  -87.93 -168.96
00129.000  -88.15 -170.44
00130.000  -87.45 -164.21
00131.000  -84.96 -171.09
00132.000  -86.40 -172.76
00133.000  -87.24 -166.06
00134.000  -87.64 -164.34
00135.000  -87.06 -162.05
00136.000  -87.41 -168.63
00137.000  -88.44 -164.78
00138.000  -89.23 -153.78
