% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-04
% Frequency: 37500.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00211.000  -85.14  176.31
00212.000  -85.03  177.20
00213.000  -84.98  174.90
00214.000  -85.18  175.48
00215.000  -85.12  176.30
00216.000  -85.21  176.25
00217.000  -85.12  174.03
00218.000  -84.87  176.63
00219.000  -85.43  174.75
00220.000  -84.99  173.34
00221.000  -85.16  174.34
00222.000  -85.27  173.14
00223.000  -85.19  173.96
00224.000  -85.08  173.61
00225.000  -85.29  173.96
00226.000  -85.33  174.23
00227.000  -85.09  174.13
00228.000  -85.11  174.47
00229.000  -85.10  174.35
00230.000  -84.99  174.06
00231.000  -85.09  171.28
00232.000  -85.11  174.14
00233.000  -85.08  173.28
00234.000  -85.43  175.62
00235.000  -85.16  172.92
00236.000  -85.27  174.03
00237.000  -84.97  172.65
00238.000  -85.12  171.42
00239.000  -85.07  173.77
00240.000  -84.90  172.47
00241.000  -85.11  173.46
00242.000  -85.16  173.76
00243.000  -84.89  173.17
00244.000  -85.05  172.85
00245.000  -84.95  172.65
00246.000  -84.98  174.26
00247.000  -84.88  173.41
00248.000  -84.83  175.50
00249.000  -85.02  174.89
00250.000  -84.77  174.64
00251.000  -84.83  176.26
00252.000  -84.72  175.18
00253.000  -84.56  173.71
00254.000  -84.77  175.50
00255.000  -84.82  175.86
00256.000  -84.69  176.02
00257.000  -84.74  176.44
00258.000  -84.58  176.89
00259.000  -84.62  178.05
00260.000  -84.79  177.98
00261.000  -84.67  178.11
00262.000  -84.78  176.36
00263.000  -84.85  177.46
00264.000  -84.76  176.88
00265.000  -84.83  175.51
00266.000  -84.81  176.45
00267.000  -84.75  178.00
00268.000  -84.82  177.72
00269.000  -84.66  176.98
00270.000  -84.72 -179.95
00271.000  -84.77  178.62
00272.000  -84.72  177.89
00273.000  -84.85  177.21
00274.000  -84.78  179.23
00275.000  -84.76  178.72
00276.000  -85.06  178.56
00277.000  -84.97  179.95
00278.000  -85.02  177.26
00279.000  -85.10  178.13
00280.000  -85.24  178.84
00281.000  -85.22  178.44
00282.000  -85.27  179.59
00283.000  -85.28  179.29
00284.000  -85.49 -179.09
00285.000  -85.28  178.66
00286.000  -85.19 -177.42
00287.000  -85.28 -179.91
00288.000  -85.33 -178.69
00289.000  -85.38 -179.68
00290.000  -85.38  179.05
00291.000  -85.18 -179.88
00292.000  -85.40 -179.67
00293.000  -85.44  178.99
00294.000  -85.20  179.75
00295.000  -85.34  179.24
00296.000  -85.24  177.18
00297.000  -85.47  177.98
00298.000  -85.12  179.12
00299.000  -85.41  178.39
00300.000  -85.35  176.66
00301.000  -85.43  178.97
00302.000  -85.27 -179.69
00303.000  -85.37  178.79
00304.000  -85.44  179.88
00305.000  -85.44  178.93
00306.000  -85.44  176.70
00307.000  -85.41  178.41
00308.000  -85.42  178.30
00309.000  -85.42  178.40
00310.000  -85.26  179.37
00311.000  -85.79  179.25
00312.000  -85.51  176.97
