% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-12
% Frequency: 24400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00000.000  -88.21 -155.50
00001.000  -87.39 -150.68
00002.000  -87.76 -152.99
00003.000  -88.03 -150.22
00004.000  -87.98 -157.90
00005.000  -86.28 -155.06
00006.000  -86.93 -153.07
00007.000  -87.66 -161.94
00008.000  -87.75 -158.73
00009.000  -87.01 -154.81
00010.000  -86.02 -156.94
00011.000  -87.33 -155.28
00012.000  -87.95 -156.97
00013.000  -88.30 -144.40
00014.000  -87.33 -143.17
00015.000  -86.70 -156.47
00016.000  -87.43 -156.99
00017.000  -87.38 -155.52
00018.000  -87.75 -156.50
00019.000  -87.65 -156.15
00020.000  -87.12 -155.44
00021.000  -88.17 -159.32
00022.000  -87.28 -163.75
00023.000  -87.87 -169.22
00024.000  -87.92 -160.81
00025.000  -87.67 -158.42
00026.000  -86.55 -152.58
00027.000  -88.05 -162.77
00028.000  -88.01 -159.28
00029.000  -87.10 -162.69
00030.000  -88.36 -161.21
00031.000  -88.13 -154.40
00032.000  -88.04 -157.11
00033.000  -88.95 -152.72
00034.000  -87.88 -153.11
00035.000  -87.18 -151.39
00036.000  -87.32 -147.34
00037.000  -87.07 -152.06
00038.000  -88.02 -140.69
00039.000  -87.40 -135.41
00040.000  -87.26 -144.49
00041.000  -87.76 -145.61
00042.000  -87.42 -148.48
00043.000  -88.64 -140.52
00044.000  -86.80 -150.83
00045.000  -86.85 -150.56
00046.000  -87.56 -155.70
00047.000  -86.65 -144.11
00048.000  -87.91 -144.35
00049.000  -87.50 -144.87
00050.000  -87.88 -143.95
00051.000  -86.91 -145.27
00052.000  -86.53 -153.35
00053.000  -88.36 -147.79
00054.000  -88.20 -152.32
00055.000  -87.50 -151.81
00056.000  -87.00 -157.09
00057.000  -87.61 -141.63
00058.000  -88.37 -143.48
00059.000  -86.92 -146.40
00060.000  -87.47 -144.41
00061.000  -86.14 -148.65
00062.000  -86.91 -159.05
