% UltraMSK: version 1.1.1
% Site: fairbanks
% Date: 2022-03-05
% Frequency: 16400.000000 Hz
% Baud Rate: 200 Hz
% VLF Channel: 2
% PPS Channel: 1
% Jack Server: default
% Output Format: Polar
% End                  
00213.000  -60.38  -57.53
00214.000  -60.44  -61.32
00215.000  -60.43  -63.83
00216.000  -60.51  -67.22
00217.000  -60.40  -71.33
00218.000  -60.44  -74.45
00219.000  -60.46  -78.00
00220.000  -60.47  -80.78
00221.000  -60.37  -83.93
00222.000  -60.32  -87.60
00223.000  -60.46  -90.16
00224.000  -60.30  -93.76
00225.000  -60.35  -96.14
00226.000  -60.36 -100.21
00227.000  -60.39 -103.80
00228.000  -60.42 -107.12
00229.000  -60.35 -110.41
00230.000  -60.39 -113.53
00231.000  -60.35 -116.62
00232.000  -60.33 -119.47
00233.000  -60.42 -122.79
00234.000  -60.35 -126.22
00235.000  -60.43 -129.15
00236.000  -60.40 -132.86
00237.000  -60.35 -135.59
00238.000  -60.41 -138.72
00239.000  -60.28 -142.02
00240.000  -60.31 -145.30
00241.000  -60.20 -148.38
00242.000  -60.23 -151.38
00243.000  -60.21 -154.62
00244.000  -60.24 -158.03
00245.000  -60.16 -161.59
00246.000  -60.27 -165.18
00247.000  -60.05 -167.77
00248.000  -60.29 -170.78
00249.000  -60.33 -175.01
00250.000  -60.19 -177.94
00251.000  -60.27  179.34
00252.000  -60.29  175.66
00253.000  -60.22  172.74
00254.000  -60.26  168.84
00255.000  -60.23  165.55
00256.000  -60.33  162.31
00257.000  -60.21  159.31
00258.000  -60.39  156.44
00259.000  -60.26  153.13
00260.000  -60.30  150.24
00261.000  -60.41  146.51
00262.000  -60.44  142.85
00263.000  -60.45  139.97
00264.000  -60.47  136.34
00265.000  -60.45  132.62
00266.000  -60.32  129.37
00267.000  -60.33  126.66
00268.000  -60.37  122.96
00269.000  -60.30  119.86
00270.000  -60.38  116.59
00271.000  -60.39  113.29
00272.000  -60.34  110.05
00273.000  -60.48  106.93
00274.000  -60.41  103.50
00275.000  -60.37  100.20
00276.000  -60.49   97.06
00277.000  -60.44   93.97
00278.000  -60.44   90.73
00279.000  -60.40   87.86
00280.000  -60.41   84.42
00281.000  -60.41   80.98
00282.000  -60.37   77.70
00283.000  -60.44   74.74
00284.000  -60.41   71.26
00285.000  -60.37   68.32
00286.000  -60.43   64.33
00287.000  -60.45   61.25
00288.000  -60.46   57.88
00289.000  -60.34   55.01
00290.000  -60.42   51.85
00291.000  -60.43   48.54
00292.000  -60.58   45.15
00293.000  -60.37   41.94
00294.000  -60.43   38.35
00295.000  -60.41   35.02
00296.000  -60.41   32.19
00297.000  -60.44   28.76
00298.000  -60.47   25.69
00299.000  -60.54   21.91
00300.000  -60.42   18.80
00301.000  -60.42   15.67
00302.000  -60.40   13.05
00303.000  -60.40    8.96
00304.000  -60.50    5.91
00305.000  -60.41    3.18
00306.000  -60.38   -0.40
00307.000  -60.38   -3.03
00308.000  -60.57   -6.37
00309.000  -60.37   -9.07
00310.000  -60.47  -13.23
00311.000  -60.39  -16.10
00312.000  -60.51  -19.75
00313.000  -60.53  -22.32
00314.000  -60.48  -25.45
00315.000  -60.45  -29.08
00316.000  -60.44  -31.90
00317.000  -60.57  -36.12
00318.000  -60.50  -38.55
00319.000  -60.50  -42.43
00320.000  -60.50  -46.02
00321.000  -60.45  -48.89
00322.000  -60.52  -52.05
00323.000  -60.43  -55.89
00324.000  -60.46  -58.61
00325.000  -60.56  -62.12
00326.000  -60.53  -65.38
00327.000  -60.54  -68.08
00328.000  -60.37  -71.33
00329.000  -60.57  -74.62
00330.000  -60.53  -78.42
00331.000  -60.55  -81.24
00332.000  -60.55  -85.07
00333.000  -60.57  -88.45
00334.000  -60.56  -91.27
00335.000  -60.50  -94.22
00336.000  -60.59  -97.83
00337.000  -60.56 -100.54
00338.000  -60.54 -103.47
00339.000  -60.66 -106.62
00340.000  -60.72 -110.39
00341.000  -60.60 -113.20
00342.000  -60.63 -116.08
00343.000  -60.64 -119.89
00344.000  -60.61 -122.71
00345.000  -60.68 -126.47
00346.000  -60.78 -129.45
00347.000  -60.65 -132.35
00348.000  -60.68 -136.37
00349.000  -60.73 -138.89
00350.000  -60.72 -142.32
00351.000  -60.65 -144.99
00352.000  -60.68 -148.29
00353.000  -60.67 -151.56
00354.000  -60.65 -154.74
00355.000  -60.67 -157.53
00356.000  -60.72 -161.18
00357.000  -60.77 -164.24
00358.000  -60.71 -167.40
00359.000  -60.65 -171.04
00360.000  -60.64 -174.07
00361.000  -60.62 -177.80
00362.000  -60.73  179.00
00363.000  -60.66  175.94
00364.000  -60.64  172.72
00365.000  -60.62  169.38
00366.000  -60.76  166.42
00367.000  -60.63  162.90
00368.000  -60.68  160.87
00369.000  -60.60  157.40
00370.000  -60.62  153.70
00371.000  -60.62  150.82
00372.000  -60.64  147.13
00373.000  -60.54  144.64
00374.000  -60.58  141.65
00375.000  -60.62  137.87
00376.000  -60.57  134.38
00377.000  -60.64  131.36
00378.000  -60.57  128.21
00379.000  -60.45  124.81
00380.000  -60.48  121.02
00381.000  -60.52  118.30
00382.000  -60.53  114.85
00383.000  -60.56  111.22
00384.000  -60.40  108.81
00385.000  -60.36  105.61
00386.000  -60.42  102.25
00387.000  -60.31   99.03
00388.000  -60.41   95.47
00389.000  -60.38   92.17
00390.000  -60.40   88.56
00391.000  -60.35   85.86
00392.000  -60.40   82.44
00393.000  -60.40   78.85
00394.000  -60.30   76.05
00395.000  -60.38   72.32
00396.000  -60.36   69.30
00397.000  -60.40   65.63
00398.000  -60.21   63.69
00399.000  -60.41   59.13
00400.000  -60.37   56.59
00401.000  -60.42   53.92
00402.000  -60.38   50.19
00403.000  -60.27   47.17
00404.000  -60.39   43.74
00405.000  -60.41   41.27
00406.000  -60.36   37.57
00407.000  -60.27   34.52
00408.000  -60.29   30.75
00409.000  -60.32   27.26
00410.000  -60.54   23.93
00411.000  -60.41   20.00
00412.000  -60.40   17.19
00413.000  -60.48   13.45
00414.000  -60.45   10.89
00415.000  -60.52    7.17
00416.000  -60.34    3.69
00417.000  -60.43    0.63
00418.000  -60.41   -3.31
00419.000  -60.35   -6.46
00420.000  -60.34   -9.70
00421.000  -60.39  -14.19
00422.000  -60.32  -17.39
00423.000  -60.30  -20.34
00424.000  -60.30  -23.39
00425.000  -60.33  -27.52
00426.000  -60.23  -30.23
00427.000  -60.27  -33.59
00428.000  -60.23  -37.33
00429.000  -60.24  -41.31
00430.000  -60.12  -44.48
00431.000  -60.21  -47.11
00432.000  -60.09  -50.70
00433.000  -60.10  -53.58
00434.000  -60.11  -57.59
00435.000  -60.19  -60.78
00436.000  -60.15  -64.37
00437.000  -60.12  -67.72
00438.000  -60.11  -70.84
00439.000  -60.15  -74.50
00440.000  -60.25  -77.73
00441.000  -60.22  -81.32
00442.000  -60.14  -84.38
00443.000  -60.25  -87.25
00444.000  -60.25  -90.72
00445.000  -60.26  -94.17
00446.000  -60.29  -97.34
00447.000  -60.29 -101.25
00448.000  -60.23 -103.93
00449.000  -60.25 -107.21
00450.000  -60.27 -110.95
00451.000  -60.33 -114.65
00452.000  -60.35 -116.86
00453.000  -60.36 -121.05
00454.000  -60.33 -124.12
00455.000  -60.29 -126.87
00456.000  -60.44 -130.37
00457.000  -60.33 -132.56
00458.000  -60.42 -136.26
00459.000  -60.41 -139.45
00460.000  -60.47 -142.38
00461.000  -60.41 -146.56
00462.000  -60.42 -149.34
00463.000  -60.41 -152.64
00464.000  -60.41 -156.04
00465.000  -60.50 -159.67
00466.000  -60.40 -162.95
00467.000  -60.56 -166.70
00468.000  -60.46 -168.96
00469.000  -60.41 -172.25
00470.000  -60.48 -175.24
00471.000  -60.47 -178.56
00472.000  -60.55  179.17
00473.000  -60.35  175.12
00474.000  -60.45  171.71
00475.000  -60.44  168.38
00476.000  -60.36  166.31
00477.000  -60.35  162.93
00478.000  -60.40  159.11
00479.000  -60.31  156.33
00480.000  -60.37  152.98
00481.000  -60.26  150.56
00482.000  -60.33  146.52
00483.000  -60.30  143.65
00484.000  -60.25  140.67
00485.000  -60.34  137.57
